Current (nA) - Channel AO020	Voltage (mV) - Channel AO1	Gain: 0.100000
Current (nA) - Channel AO0	Voltage (mV) - Channel AO1	
-42.339812	-200.220975
-38.290194	-180.237553
-34.244893	-160.279855
-30.216908	-140.249173
-26.190326	-120.288892
-22.091507	-100.320613
-17.910921	-80.266753
-13.659002	-60.337511
-9.261309	-40.306451
-4.718104	-20.298853
-0.015041	-0.329273
4.904701	19.624838
10.007747	39.658061
15.212810	59.642946
20.482923	79.564754
25.849716	99.629661
31.212666	119.613412
36.595588	139.597113
41.981687	159.617451
47.326465	179.531743
52.698647	199.580326
